Sample_ID,sample,id_seq,site,plot,core,extraction_replicate,id_cropped,site_c,dist_to_core,m_temp_dia,temp_vert,m_moisture,m_depth,m_conductivity,m_graminoid,m_forbs,m_bryo,lichen,litter,rock,bare_ground,m_dwarf,cushion,crust,m_total_cover,m_pH,m_CEC,m_TOC,m_TN,Silt,Sand,Mn_AO,Fe_DCB,Clay,BD,Resin-P_MEAN,NH4_MEAN,NO3_MEAN,m_plant_shannon,m_mean_qPCR_16s,m_mean_qPCR_ITS,m_ratio,m_microbe_shannon,CO2fluxlight,CO2fluxdark,CH4fluxlight,CH4fluxdark,ResinP,NaHCO3P,NaOHP,HClP,TotP,ITS_Observed,rel_ab_ascomycota,rel_ab_basidiomycota,m_ratio_BasidiomycotaAscomycota,m_fungi_shannon
AD-T-BP-05-2_S2087,AD-T-BP-05-2_S2087,337111_017-AD-T-BP-05_O-A-2_S55,ADT,5,no,2,AD-T-BP-05-O-A-2_S5_L001_R1_001.cropped.fastq.gz ,tundra_gradient,253.45,7,6.4,20.1,4.76,0.09,95,0,0.5,0,8,1,NA,0,NA,NA,104.5,5.527,3.849,5.146,0.442,63.278,16.867,0.225,12.977,20.458,1.193,NA,NA,NA,NA,,NA,NA,6.503873393,NA,NA,NA,NA,NA,NA,NA,NA,NA,331,0.639044242,0.360955758,0.564836882,3.512931932
AD-T-BP-05-3_S2088,AD-T-BP-05-3_S2088,337111_018-AD-T-BP-05_O-A-3_S116,ADT,5,no,3,AD-T-BP-05-O-A-3_S6_L001_R1_001.cropped.fastq.gz ,tundra_gradient,253.45,7,6.4,20.1,4.76,0.09,95,0,0.5,0,8,1,NA,0,NA,NA,104.5,5.527,3.849,5.146,0.442,63.278,16.867,0.225,12.977,20.458,1.193,NA,NA,NA,NA,,NA,NA,6.570687019,NA,NA,NA,NA,NA,NA,NA,NA,NA,359,0.653159778,0.346840222,0.531018953,3.710475481
AD-T-BP-06-1_S2116,AD-T-BP-06-1_S2116,337111_052-AD-T-BP-06_O-A-1_S31,ADT,6,no,1,AD-T-BP-06-O-A-1_S38_L001_R1_001.cropped.fastq.gz ,tundra_gradient,231.7,6.7,5.7,20.9,19.12,0.14,7,0,95,0,20,NA,NA,5,NA,NA,127,5.739,3.996,5.61,0.459,63.89,17.182,0.226,12.184,19.287,1.151,NA,NA,NA,0.679193266,922099092.1,508245428.4,0.551183092,6.648269625,NA,NA,NA,NA,NA,NA,NA,NA,NA,348,0.704887701,0.295112299,0.418665694,3.955348533
AD-T-BP-06-2_S2117,AD-T-BP-06-2_S2117,337111_053-AD-T-BP-06_O-A-2_S96,ADT,6,no,2,AD-T-BP-06-O-A-2_S39_L001_R1_001.cropped.fastq.gz ,tundra_gradient,231.7,6.7,5.7,20.9,19.12,0.14,7,0,95,0,20,NA,NA,5,NA,NA,127,5.739,3.996,5.61,0.459,63.89,17.182,0.226,12.184,19.287,1.151,NA,NA,NA,0.679193266,1216969494,656373989.2,0.539351227,6.711673643,NA,NA,NA,NA,NA,NA,NA,NA,NA,265,0.63632314,0.36367686,0.571528578,4.081958082
AD-T-BP-06-3_S2118,AD-T-BP-06-3_S2118,337111_054-AD-T-BP-06_O-A-3_S105,ADT,6,no,3,AD-T-BP-06-O-A-3_S40_L001_R1_001.cropped.fastq.gz ,tundra_gradient,231.7,6.7,5.7,20.9,19.12,0.14,7,0,95,0,20,NA,NA,5,NA,NA,127,5.739,3.996,5.61,0.459,63.89,17.182,0.226,12.184,19.287,1.151,NA,NA,NA,0.679193266,1316348527,561617202.8,0.4266478,6.556915593,NA,NA,NA,NA,NA,NA,NA,NA,NA,363,0.672548552,0.327451448,0.4868815,4.186300095
AD-T-BP-07-1_S2104,AD-T-BP-07-1_S2104,337111_038-AD-T-BP-07_O-A-1_S54,ADT,7,no,1,AD-T-BP-07-O-A-1_S24_L001_R1_001.cropped.fastq.gz ,tundra_gradient,110.66,6.7,4.5,10.4,36.06,0.09,1,20,98,1,2,NA,NA,35,NA,NA,157,5.633,4.998,7.56,0.639,64.667,17.759,0.08,12.089,17.934,0.969,NA,NA,NA,1.048953472,4766221297,2233330644,0.468574685,7.771517621,NA,NA,NA,NA,NA,NA,NA,NA,NA,368,0.524527861,0.475472139,0.906476424,4.541291035
AD-T-BP-07-2_S2105,AD-T-BP-07-2_S2105,337111_039-AD-T-BP-07_O-A-2_S85,ADT,7,no,2,AD-T-BP-07-O-A-2_S25_L001_R1_001.cropped.fastq.gz ,tundra_gradient,110.66,6.7,4.5,10.4,36.06,0.09,1,20,98,1,2,NA,NA,35,NA,NA,157,5.633,4.998,7.56,0.639,64.667,17.759,0.08,12.089,17.934,0.969,NA,NA,NA,1.048953472,2814322455,1855628451,0.659351756,7.686439219,NA,NA,NA,NA,NA,NA,NA,NA,NA,447,0.460127364,0.539872636,1.173311299,4.689179589
AD-T-BP-07-3_S2106,AD-T-BP-07-3_S2106,337111_040-AD-T-BP-07_O-A-3_S7,ADT,7,no,3,AD-T-BP-07-O-A-3_S26_L001_R1_001.cropped.fastq.gz ,tundra_gradient,110.66,6.7,4.5,10.4,36.06,0.09,1,20,98,1,2,NA,NA,35,NA,NA,157,5.633,4.998,7.56,0.639,64.667,17.759,0.08,12.089,17.934,0.969,NA,NA,NA,1.048953472,2202214150,1533884936,0.696519426,7.717879758,NA,NA,NA,NA,NA,NA,NA,NA,NA,439,0.448541631,0.551458369,1.229447461,4.455867522
AD-T-BP-08-1_S2119,AD-T-BP-08-1_S2119,337111_055-AD-T-BP-08_O-A-1_S57,ADT,8,no,1,AD-T-BP-08-O-A-1_S41_L001_R1_001.cropped.fastq.gz ,tundra_gradient,111.28,7.4,6.5,25.2,16.52,0.09,17,1,80,0.5,10,NA,NA,20,NA,3,131.5,5.194,4.774,7.047,0.627,67.563,10.929,0.096,13.066,20.888,1.044,NA,NA,NA,1.251402214,2657809794,1039903734,0.391263414,7.031052426,NA,NA,NA,NA,NA,NA,NA,NA,NA,402,0.4544405,0.5455595,1.200508098,4.397141049
AD-T-BP-08-2_S2120,AD-T-BP-08-2_S2120,337111_056-AD-T-BP-08_O-A-2_S88,ADT,8,no,2,AD-T-BP-08-O-A-2_S42_L001_R1_001.cropped.fastq.gz ,tundra_gradient,111.28,7.4,6.5,25.2,16.52,0.09,17,1,80,0.5,10,NA,NA,20,NA,3,131.5,5.194,4.774,7.047,0.627,67.563,10.929,0.096,13.066,20.888,1.044,NA,NA,NA,1.251402214,3168448190,3358566589,1.060003632,7.079127588,NA,NA,NA,NA,NA,NA,NA,NA,NA,383,0.507174914,0.492825086,0.971706352,4.097318072
