Sample_ID,sample,id_seq,site,plot,core,extraction_replicate,id_cropped,site_c,dist_to_core,m_temp_dia,temp_vert,m_moisture,m_depth,m_conductivity,m_graminoid,m_forbs,m_bryo,lichen,litter,rock,bare_ground,m_dwarf,cushion,crust,m_total_cover,m_pH,m_CEC,m_TOC,m_TN,Silt,Sand,Mn_AO,Fe_DCB,Clay,BD,Resin-P_MEAN,NH4_MEAN,NO3_MEAN,m_plant_shannon,m_mean_qPCR_16s,m_mean_qPCR_ITS,m_ratio,m_microbe_shannon,CO2fluxlight,CO2fluxdark,CH4fluxlight,CH4fluxdark,ResinP,NaHCO3P,NaOHP,HClP,TotP,ITS_Observed,rel_ab_ascomycota,rel_ab_basidiomycota,m_ratio_BasidiomycotaAscomycota,m_fungi_shannon
BJ-B-BP-05-3_S2091,BJ-B-BP-05-3_S2091,337111_021-BJ-B-BP_05_O-A-3_S9,BJB,5,no,3,BJ-B-BP-05-O-A-3_S9_L001_R1_001.cropped.fastq.gz ,bird_cliff_gradient,92.68,6.5,6.5,29.3,9.64,0.1,5,8,95,NA,8,NA,NA,20,NA,NA,136,5.72,7.375,10.247,0.812,47.33,45.015,0.143,7.353,9.749,0.791,NA,NA,NA,1.210737482,3848724758,3779475150,0.982007129,7.781050211,NA,NA,NA,NA,NA,NA,NA,NA,NA,388,0.381290415,0.618709585,1.622672797,3.949304086
BJ-B-BP-06-1_S2107,BJ-B-BP-06-1_S2107,337111_041-BJ-B-BP_06_O-A-1_S115,BJB,6,no,1,BJ-B-BP-06-O-A-1_S27_L001_R1_001.cropped.fastq.gz ,bird_cliff_gradient,70,7.2,8.5,9.4,10.7,0.1,25,3,95,4,3,NA,NA,0,NA,NA,130,4.71,8.196,7.044,0.558,47.077,48.168,0.024,5.257,6.802,1.007,NA,NA,NA,0.760755259,2193647291,2187807680,0.997337944,7.595792233,NA,NA,NA,NA,NA,NA,NA,NA,NA,381,0.769284639,0.230715361,0.299908967,4.289987444
BJ-B-BP-06-2_S2108,BJ-B-BP-06-2_S2108,337111_042-BJ-B-BP_06_O-A-2_S89,BJB,6,no,2,BJ-B-BP-06-O-A-2_S28_L001_R1_001.cropped.fastq.gz ,bird_cliff_gradient,70,7.2,8.5,9.4,10.7,0.1,25,3,95,4,3,NA,NA,0,NA,NA,130,4.71,8.196,7.044,0.558,47.077,48.168,0.024,5.257,6.802,1.007,NA,NA,NA,0.760755259,1564070409,1185394005,0.757890437,7.631129793,NA,NA,NA,NA,NA,NA,NA,NA,NA,399,0.766171282,0.233828718,0.305191181,4.385461277
BJ-B-BP-06-3_S2109,BJ-B-BP-06-3_S2109,337111_043-BJ-B-BP_06_O-A-3_S100,BJB,6,no,3,BJ-B-BP-06-O-A-3_S29_L001_R1_001.cropped.fastq.gz ,bird_cliff_gradient,70,7.2,8.5,9.4,10.7,0.1,25,3,95,4,3,NA,NA,0,NA,NA,130,4.71,8.196,7.044,0.558,47.077,48.168,0.024,5.257,6.802,1.007,NA,NA,NA,0.760755259,2754043040,1258972220,0.457136,7.430252153,NA,NA,NA,NA,NA,NA,NA,NA,NA,327,0.758871326,0.241128674,0.317746455,4.047209059
BJ-B-BP-07-1_S2122,BJ-B-BP-07-1_S2122,337111_058-BJ-B-BP_07_O-A-1_S80,BJB,7,no,1,BJ-B-BP-07-O-A-1_S44_L001_R1_001.cropped.fastq.gz ,bird_cliff_gradient,46.59,8.4,7.4,19.3,5.1,0.23,2,5,10,4,2,10,NA,45,10,20,108,6.692,4.868,10.337,0.849,67.118,14.659,0.153,10.62,17.557,0.748,NA,NA,NA,1.28931567,6324093621,2146200016,0.339368793,7.152427872,NA,NA,NA,NA,NA,NA,NA,NA,NA,368,0.317849703,0.682150297,2.146141054,4.076515672
BJ-B-BP-07-2_S2123,BJ-B-BP-07-2_S2123,337111_059-BJ-B-BP_07_O-A-2_S113,BJB,7,no,2,BJ-B-BP-07-O-A-2_S45_L001_R1_001.cropped.fastq.gz ,bird_cliff_gradient,46.59,8.4,7.4,19.3,5.1,0.23,2,5,10,4,2,10,NA,45,10,20,108,6.692,4.868,10.337,0.849,67.118,14.659,0.153,10.62,17.557,0.748,NA,NA,NA,1.28931567,4706379368,2295934470,0.487834552,6.968480973,NA,NA,NA,NA,NA,NA,NA,NA,NA,387,0.341216114,0.658783886,1.93069395,4.138788072
BJ-B-BP-07-3_S2124,BJ-B-BP-07-3_S2124,337111_060-BJ-B-BP_07_O-A-3_S33,BJB,7,no,3,BJ-B-BP-07-O-A-3_S46_L001_R1_001.cropped.fastq.gz ,bird_cliff_gradient,46.59,8.4,7.4,19.3,5.1,0.23,2,5,10,4,2,10,NA,45,10,20,108,6.692,4.868,10.337,0.849,67.118,14.659,0.153,10.62,17.557,0.748,NA,NA,NA,1.28931567,6159655110,2152692319,0.349482606,7.090821642,NA,NA,NA,NA,NA,NA,NA,NA,NA,360,0.327967869,0.672032131,2.049079181,4.18868548
BJ-B-BP-08-1_S2125,BJ-B-BP-08-1_S2125,337111_061-BJ-B-BP_08_O-A-1_S19,BJB,8,no,1,BJ-B-BP-08-O-A-1_S47_L001_R1_001.cropped.fastq.gz ,bird_cliff_gradient,88.3,4,3.5,34.1,37.94,0.03,50,10,80,NA,10,NA,NA,40,NA,NA,190,6.45,9.897,15.28,1.017,43.649,53.526,0.2,4.351,5.351,0.396,NA,NA,NA,1.206324951,4979297556,3037688489,0.61006366,7.255593458,NA,NA,NA,NA,NA,NA,NA,NA,NA,392,0.596576737,0.403423263,0.676230296,4.567799433
BJ-B-BP-08-2_S2126,BJ-B-BP-08-2_S2126,337111_062-BJ-B-BP_08_O-A-2_S63,BJB,8,no,2,BJ-B-BP-08-O-A-2_S48_L001_R1_001.cropped.fastq.gz ,bird_cliff_gradient,88.3,4,3.5,34.1,37.94,0.03,50,10,80,NA,10,NA,NA,40,NA,NA,190,6.45,9.897,15.28,1.017,43.649,53.526,0.2,4.351,5.351,0.396,NA,NA,NA,1.206324951,5408517413,2604872383,0.48162411,7.241497238,NA,NA,NA,NA,NA,NA,NA,NA,NA,459,0.730581485,0.269418515,0.368772711,4.431167327
BJ-B-BP-08-3_S2127,BJ-B-BP-08-3_S2127,337111_063-BJ-B-BP_08_O-A-3_S91,BJB,8,no,3,BJ-B-BP-08-O-A-3_S49_L001_R1_001.cropped.fastq.gz ,bird_cliff_gradient,88.3,4,3.5,34.1,37.94,0.03,50,10,80,NA,10,NA,NA,40,NA,NA,190,6.45,9.897,15.28,1.017,43.649,53.526,0.2,4.351,5.351,0.396,NA,NA,NA,1.206324951,5654327421,2494036697,0.441084591,7.281318514,NA,NA,NA,NA,NA,NA,NA,NA,NA,348,0.548852226,0.451147774,0.821984048,4.406917813
BJ-B-BP-09-1_S2128,BJ-B-BP-09-1_S2128,337111_064-BJ-B-BP_09_O-A-1_S56,BJB,9,no,1,BJ-B-BP-09-O-A-1_S50_L001_R1_001.cropped.fastq.gz ,bird_cliff_gradient,88.16,5.9,3.6,12,14.08,0,5,8,20,2,1,NA,NA,35,NA,25,96,5.386,4.868,7.257,0.602,67.119,14.657,0.153,10.617,17.558,1.001,NA,NA,NA,1.098644354,2107868279,6298297673,2.987993954,7.093399784,NA,NA,NA,NA,NA,NA,NA,NA,NA,289,0.389549377,0.610450623,1.567068668,3.812461691
BJ-B-BP-09-2_S2129,BJ-B-BP-09-2_S2129,337111_065-BJ-B-BP_09_O-A-2_S62,BJB,9,no,2,BJ-B-BP-09-O-A-2_S51_L001_R1_001.cropped.fastq.gz ,bird_cliff_gradient,88.16,5.9,3.6,12,14.08,0,5,8,20,2,1,NA,NA,35,NA,25,96,5.386,4.868,7.257,0.602,67.119,14.657,0.153,10.617,17.558,1.001,NA,NA,NA,1.098644354,1496809182,2004376652,1.339099651,7.108837107,NA,NA,NA,NA,NA,NA,NA,NA,NA,317,0.371801151,0.628198849,1.689609748,3.921682269
BJ-B-BP-09-3_S2130,BJ-B-BP-09-3_S2130,337111_066-BJ-B-BP_09_O-A-3_S53,BJB,9,no,3,BJ-B-BP-09-O-A-3_S52_L001_R1_001.cropped.fastq.gz ,bird_cliff_gradient,88.16,5.9,3.6,12,14.08,0,5,8,20,2,1,NA,NA,35,NA,25,96,5.386,4.868,7.257,0.602,67.119,14.657,0.153,10.617,17.558,1.001,NA,NA,NA,1.098644354,2142561970,1636854073,0.763970469,7.039450531,NA,NA,NA,NA,NA,NA,NA,NA,NA,258,0.327059474,0.672940526,2.057547878,3.628305527
BJ-B-BP-10-1_S2098,BJ-B-BP-10-1_S2098,337111_029-BJ-B-BP_10_O-A-1_S41,BJB,10,no,1,BJ-B-BP-10-O-A-1_S17_L001_R1_001.cropped.fastq.gz ,bird_cliff_gradient,79.26,6.9,6.4,5.5,14.6,0,10,1,80,5,3,3,NA,60,NA,NA,162,6.366,9.939,9.814,0.759,39.546,53.226,0.142,4.465,8.076,0.833,NA,NA,NA,1.1348794,2760254798,2724339581,0.986988441,7.739748861,NA,NA,NA,NA,NA,NA,NA,NA,NA,504,0.517284418,0.482715582,0.933172479,4.51258448
BJ-B-BP-10-2_S2099,BJ-B-BP-10-2_S2099,337111_030-BJ-B-BP_10_O-A-2_S16,BJB,10,no,2,BJ-B-BP-10-O-A-2_S18_L001_R1_001.cropped.fastq.gz ,bird_cliff_gradient,79.26,6.9,6.4,5.5,14.6,0,10,1,80,5,3,3,NA,60,NA,NA,162,6.366,9.939,9.814,0.759,39.546,53.226,0.142,4.465,8.076,0.833,NA,NA,NA,1.1348794,2698505250,3516616328,1.303171942,7.782957103,NA,NA,NA,NA,NA,NA,NA,NA,NA,478,0.575952061,0.424047939,0.736255614,4.230879836
BJ-B-BP-10-3_S2100,BJ-B-BP-10-3_S2100,337111_031-BJ-B-BP_10_O-A-3_S76,BJB,10,no,3,BJ-B-BP-10-O-A-3_S19_L001_R1_001.cropped.fastq.gz ,bird_cliff_gradient,79.26,6.9,6.4,5.5,14.6,0,10,1,80,5,3,3,NA,60,NA,NA,162,6.366,9.939,9.814,0.759,39.546,53.226,0.142,4.465,8.076,0.833,NA,NA,NA,1.1348794,4539391562,5203478165,1.146294188,7.794619044,NA,NA,NA,NA,NA,NA,NA,NA,NA,410,0.257997964,0.742002036,2.875999574,3.225935786
LO-D-BP-01-OA-D2-1_R1_trimmed_fastp_filterAndTrim.fastq.gz,LO-D-BP-01-OA-D2-1_R1_trimmed_fastp_filterAndTrim.fastq.gz,337111_083-LO-D-BP-01_O-A_D2-1_S83,LOD,1,yes,1,LO-D-BP-01-O-A-D2-1_S69_L001_R1_001.cropped.fastq.gz ,disturbed_core,5.578,5.3,3.4,36.2,11.56,0.24,80,15,80,NA,25,NA,NA,0,NA,NA,200,6.335,8.9,16.243,1.165,39.14,55.116,0.175,7.72,6.963,0.359,49.1,8.5,2.7,1.1257121,12391829662,3750378980,0.302649333,6.681741714,0.002146879,0.00350565,-4.17E-07,-1.38E-07,344.265,301.41,4009.419,1216.181,5871.275,407,0.905693841,0.094306159,0.104125869,4.143740833
LO-D-BP-01-OA-D2-2_R1_trimmed_fastp_filterAndTrim.fastq.gz,LO-D-BP-01-OA-D2-2_R1_trimmed_fastp_filterAndTrim.fastq.gz,337111_084-LO-D-BP-01_O-A_D2-2_S51,LOD,1,yes,2,LO-D-BP-01-O-A-D2-2_S70_L001_R1_001.cropped.fastq.gz ,disturbed_core,5.578,5.3,3.4,36.2,11.56,0.24,80,15,80,NA,25,NA,NA,0,NA,NA,200,6.335,8.9,16.243,1.165,39.14,55.116,0.175,7.72,6.963,0.359,49.1,8.5,2.7,1.1257121,12973337524,2638637189,0.203389235,6.498329093,0.002146879,0.00350565,-4.17E-07,-1.38E-07,344.265,301.41,4009.419,1216.181,5871.275,388,0.93756484,0.06243516,0.066592898,4.116497359
LO-D-BP-01-OA-D2-3_R1_trimmed_fastp_filterAndTrim.fastq.gz,LO-D-BP-01-OA-D2-3_R1_trimmed_fastp_filterAndTrim.fastq.gz,337111_085-LO-D-BP-01_O-A_D2-3_S107,LOD,1,yes,3,LO-D-BP-01-O-A-D2-3_S71_L001_R1_001.cropped.fastq.gz ,disturbed_core,5.578,5.3,3.4,36.2,11.56,0.24,80,15,80,NA,25,NA,NA,0,NA,NA,200,6.335,8.9,16.243,1.165,39.14,55.116,0.175,7.72,6.963,0.359,49.1,8.5,2.7,1.1257121,11092184559,2980002020,0.268657811,6.608749773,0.002146879,0.00350565,-4.17E-07,-1.38E-07,344.265,301.41,4009.419,1216.181,5871.275,323,0.98460507,0.01539493,0.015635639,2.212322607
LO-D-BP-02-OA-D2-1_R1_trimmed_fastp_filterAndTrim.fastq.gz,LO-D-BP-02-OA-D2-1_R1_trimmed_fastp_filterAndTrim.fastq.gz,337111_068-LO-D-BP-02_O-A_D2-1_S26,LOD,2,yes,1,LO-D-BP-02-O-A-D2-1_S54_L001_R1_001.cropped.fastq.gz ,disturbed_core,3.249,6.1,5,53.4,10.3,0.42,90,20,60,NA,10,NA,NA,0,NA,NA,180,6.196,9.046,16.267,1.165,45.867,46.779,0.099,8.253,8.3,0.357,25.4,8,4.2,0.838566372,6570098956,NA,1.223065017,6.350968687,0.00272604,0.002913296,-3.13E-07,-3.34E-07,124.442,170.092,3437.641,1299.617,5031.792,365,0.968832815,0.031167185,0.032169828,3.278603637
LO-D-BP-02-OA-D2-2_R1_trimmed_fastp_filterAndTrim.fastq.gz,LO-D-BP-02-OA-D2-2_R1_trimmed_fastp_filterAndTrim.fastq.gz,337111_069-LO-D-BP-02_O-A_D2-2_S22,LOD,2,yes,2,LO-D-BP-02-O-A-D2-2_S55_L001_R1_001.cropped.fastq.gz ,disturbed_core,3.249,6.1,5,53.4,10.3,0.42,90,20,60,NA,10,NA,NA,0,NA,NA,180,6.196,9.046,16.267,1.165,45.867,46.779,0.099,8.253,8.3,0.357,25.4,8,4.2,0.838566372,8195112514,3459677757,0.422163546,6.444489284,0.00272604,0.002913296,-3.13E-07,-3.34E-07,124.442,170.092,3437.641,1299.617,5031.792,390,0.971341847,0.028658153,0.029503674,3.645121344
LO-D-BP-02-OA-D2-3_R1_trimmed_fastp_filterAndTrim.fastq.gz,LO-D-BP-02-OA-D2-3_R1_trimmed_fastp_filterAndTrim.fastq.gz,337111_070-LO-D-BP-02_O-A_D2-3_S71,LOD,2,yes,3,LO-D-BP-02-O-A-D2-3_S56_L001_R1_001.cropped.fastq.gz ,disturbed_core,3.249,6.1,5,53.4,10.3,0.42,90,20,60,NA,10,NA,NA,0,NA,NA,180,6.196,9.046,16.267,1.165,45.867,46.779,0.099,8.253,8.3,0.357,25.4,8,4.2,0.838566372,8228606015,2268673623,0.275705705,6.276516335,0.00272604,0.002913296,-3.13E-07,-3.34E-07,124.442,170.092,3437.641,1299.617,5031.792,421,0.967093659,0.032906341,0.034026013,3.699187721
LO-D-BP-03-OA-D2-1_R1_trimmed_fastp_filterAndTrim.fastq.gz,LO-D-BP-03-OA-D2-1_R1_trimmed_fastp_filterAndTrim.fastq.gz,337111_106-LO-D-BP-03_O-A_D2-1_S48,LOD,3,yes,1,LO-D-BP-03-O-A-D2-1_S92_L001_R1_001.cropped.fastq.gz ,disturbed_core,6.688,7.4,6.3,40.2,33.7,0.22,75,20,70,NA,10,NA,NA,0,NA,NA,175,6.33,9.035,16.185,1.23,45.947,46.656,0.1,8.246,8.336,0.33,49.7,10.8,1.7,0.993764552,10206704431,3801695227,0.372470395,7.001854922,0.003683779,0.007337234,-2.51E-07,-1.85E-07,245.972,318.826,3865.888,1311.591,5742.278,364,0.878020307,0.121979693,0.138925822,3.148609919
LO-D-BP-03-OA-D2-2_R1_trimmed_fastp_filterAndTrim.fastq.gz,LO-D-BP-03-OA-D2-2_R1_trimmed_fastp_filterAndTrim.fastq.gz,337111_107-LO-D-BP-03_O-A_D2-2_S75,LOD,3,yes,2,LO-D-BP-03-O-A-D2-2_S93_L001_R1_001.cropped.fastq.gz ,disturbed_core,6.688,7.4,6.3,40.2,33.7,0.22,75,20,70,NA,10,NA,NA,0,NA,NA,175,6.33,9.035,16.185,1.23,45.947,46.656,0.1,8.246,8.336,0.33,49.7,10.8,1.7,0.993764552,7430517669,3339575202,0.44944045,6.920446938,0.003683779,0.007337234,-2.51E-07,-1.85E-07,245.972,318.826,3865.888,1311.591,5742.278,395,0.828229991,0.171770009,0.207394095,3.436850601
LO-D-BP-03-OA-D2-3_R1_trimmed_fastp_filterAndTrim.fastq.gz,LO-D-BP-03-OA-D2-3_R1_trimmed_fastp_filterAndTrim.fastq.gz,337111_002-LO-D-BP-03_O-A_D2-3_S8,LOD,3,yes,3,LO-D-BP-03-O-A-D2-3_S96_L001_R1_001.cropped.fastq.gz ,disturbed_core,6.688,7.4,6.3,40.2,33.7,0.22,75,20,70,NA,10,NA,NA,0,NA,NA,175,6.33,9.035,16.185,1.23,45.947,46.656,0.1,8.246,8.336,0.33,49.7,10.8,1.7,0.993764552,6467035483,3042682618,0.470491097,6.980047255,0.003683779,0.007337234,-2.51E-07,-1.85E-07,245.972,318.826,3865.888,1311.591,5742.278,381,0.884132171,0.115867829,0.13105261,3.483391127
LO-D-BP-05-1_S2083,LO-D-BP-05-1_S2083,337111_013-LO-D-BP-05_O-A-1_S79,LOD,5,no,1,LO-D-BP-05-O-A-1_S1_L001_R1_001.cropped.fastq.gz ,disturbed_gradient,20.623,8,6.8,25.1,24.84,0.12,95,10,1,NA,5,NA,NA,0,NA,NA,111,6.599,8.753,15.721,1.392,60.209,27.768,0.196,7.578,11.6,0.538,NA,NA,NA,0.810789689,8738707235,2506424331,0.286818664,6.968887664,NA,NA,NA,NA,NA,NA,NA,NA,NA,384,0.915908593,0.084091407,0.091812008,4.397464749
LO-D-BP-05-2_S2084,LO-D-BP-05-2_S2084,337111_014-LO-D-BP-05_O-A-2_S87,LOD,5,no,2,LO-D-BP-05-O-A-2_S2_L001_R1_001.cropped.fastq.gz ,disturbed_gradient,20.623,8,6.8,25.1,24.84,0.12,95,10,1,NA,5,NA,NA,0,NA,NA,111,6.599,8.753,15.721,1.392,60.209,27.768,0.196,7.578,11.6,0.538,NA,NA,NA,0.810789689,15371991237,2812352086,0.182953011,7.067758255,NA,NA,NA,NA,NA,NA,NA,NA,NA,360,0.900854162,0.099145838,0.11005759,4.555301596
LO-D-BP-05-3_S2085,LO-D-BP-05-3_S2085,337111_015-LO-D-BP-05_O-A-3_S25,LOD,5,no,3,LO-D-BP-05-O-A-3_S3_L001_R1_001.cropped.fastq.gz ,disturbed_gradient,20.623,8,6.8,25.1,24.84,0.12,95,10,1,NA,5,NA,NA,0,NA,NA,111,6.599,8.753,15.721,1.392,60.209,27.768,0.196,7.578,11.6,0.538,NA,NA,NA,0.810789689,7204081007,3344863722,0.464301237,7.107668818,NA,NA,NA,NA,NA,NA,NA,NA,NA,375,0.907622982,0.092377018,0.101779065,4.524341121
LO-D-BP-06-1_S2101,LO-D-BP-06-1_S2101,337111_035-LO-D-BP-06_O-A-1_S110,LOD,6,no,1,LO-D-BP-06-O-A-1_S21_L001_R1_001.cropped.fastq.gz ,disturbed_gradient,34.4,8.6,7,24,16.32,0.09,80,60,50,NA,2,NA,NA,0,NA,NA,192,6.057,5.316,8.232,0.651,52.636,31.206,0.133,11.695,16.24,0.91,NA,NA,NA,1.295325301,3973179917,1574681224,0.396327691,7.187666609,NA,NA,NA,NA,NA,NA,NA,NA,NA,402,0.8648797,0.1351203,0.156230167,3.97021605
LO-D-BP-06-2_S2102,LO-D-BP-06-2_S2102,337111_036-LO-D-BP-06_O-A-2_S6,LOD,6,no,2,LO-D-BP-06-O-A-2_S22_L001_R1_001.cropped.fastq.gz ,disturbed_gradient,34.4,8.6,7,24,16.32,0.09,80,60,50,NA,2,NA,NA,0,NA,NA,192,6.057,5.316,8.232,0.651,52.636,31.206,0.133,11.695,16.24,0.91,NA,NA,NA,1.295325301,5189468418,3331178637,0.641911342,7.298471894,NA,NA,NA,NA,NA,NA,NA,NA,NA,341,0.824375999,0.175624001,0.213038711,3.900119148
LO-D-BP-06-3_S2103,LO-D-BP-06-3_S2103,337111_037-LO-D-BP-06_O-A-3_S98,LOD,6,no,3,LO-D-BP-06-O-A-3_S23_L001_R1_001.cropped.fastq.gz ,disturbed_gradient,34.4,8.6,7,24,16.32,0.09,80,60,50,NA,2,NA,NA,0,NA,NA,192,6.057,5.316,8.232,0.651,52.636,31.206,0.133,11.695,16.24,0.91,NA,NA,NA,1.295325301,7106824593,4751838949,0.668630397,7.237360767,NA,NA,NA,NA,NA,NA,NA,NA,NA,329,0.833656644,0.166343356,0.199534613,3.908652744
LO-D-BP-07-2_S2111,LO-D-BP-07-2_S2111,337111_047-LO-D-BP-07_O-A-2_S14,LOD,7,no,2,LO-D-BP-07-O-A-2_S33_L001_R1_001.cropped.fastq.gz ,disturbed_gradient,38.43,5.3,4.5,45.1,8.28,0.38,80,20,40,NA,1,NA,1,0,NA,NA,142,5.827,5.791,9.224,0.7,56.222,23.735,0.152,13.224,19.423,0.867,NA,NA,NA,1.261641656,2878313009,3924282859,1.363396839,6.720430799,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,0.943005047,0.056994953,0.060439711,3.146246583
LO-D-BP-07-3_S2112,LO-D-BP-07-3_S2112,337111_048-LO-D-BP-07_O-A-3_S59,LOD,7,no,3,LO-D-BP-07-O-A-3_S34_L001_R1_001.cropped.fastq.gz ,disturbed_gradient,38.43,5.3,4.5,45.1,8.28,0.38,80,20,40,NA,1,NA,1,0,NA,NA,142,5.827,5.791,9.224,0.7,56.222,23.735,0.152,13.224,19.423,0.867,NA,NA,NA,1.261641656,4256587394,3396864269,0.798025262,6.611570485,NA,NA,NA,NA,NA,NA,NA,NA,NA,304,0.912938366,0.087061634,0.095364197,3.566790311
LO-D-BP-08-1_S2113,LO-D-BP-08-1_S2113,337111_049-LO-D-BP-08_O-A-1_S93,LOD,8,no,1,LO-D-BP-08-O-A-1_S35_L001_R1_001.cropped.fastq.gz ,disturbed_gradient,44.635,8.6,8,22.8,35.02,0.08,6,8,85,NA,10,NA,2,40,NA,NA,151,5.501,3.769,4.404,0.275,45.647,35.203,0.286,14.351,20.061,1.159,NA,NA,NA,0.882702215,838712224.8,1112628808,1.326591857,6.662652356,NA,NA,NA,NA,NA,NA,NA,NA,NA,312,0.449173082,0.550826918,1.226313284,3.497254878
LO-D-BP-08-2_S2114,LO-D-BP-08-2_S2114,337111_050-LO-D-BP-08_O-A-2_S20,LOD,8,no,2,LO-D-BP-08-O-A-2_S36_L001_R1_001.cropped.fastq.gz ,disturbed_gradient,44.635,8.6,8,22.8,35.02,0.08,6,8,85,NA,10,NA,2,40,NA,NA,151,5.501,3.769,4.404,0.275,45.647,35.203,0.286,14.351,20.061,1.159,NA,NA,NA,0.882702215,821984474.8,973475178.2,1.18429874,6.671161329,NA,NA,NA,NA,NA,NA,NA,NA,NA,391,0.463954077,0.536045923,1.155385735,3.550478626
LO-D-BP-08-3_S2115,LO-D-BP-08-3_S2115,337111_051-LO-D-BP-08_O-A-3_S65,LOD,8,no,3,LO-D-BP-08-O-A-3_S37_L001_R1_001.cropped.fastq.gz ,disturbed_gradient,44.635,8.6,8,22.8,35.02,0.08,6,8,85,NA,10,NA,2,40,NA,NA,151,5.501,3.769,4.404,0.275,45.647,35.203,0.286,14.351,20.061,1.159,NA,NA,NA,0.882702215,710789879.4,1424111225,2.003561482,6.466010231,NA,NA,NA,NA,NA,NA,NA,NA,NA,310,0.497251109,0.502748891,1.011056347,3.375051191
LO-D-BP-09-1_S2134,LO-D-BP-09-1_S2134,337111_096-LO-D-BP-09_O-A-1_S102,LOD,9,no,1,LO-D-BP-09-O-A-1_S82_L001_R1_001.cropped.fastq.gz ,disturbed_gradient,34.37,6.8,4.9,39.2,39,0.34,90,20,60,NA,5,NA,NA,0,NA,NA,175,5.529,6.628,10.879,0.859,59.918,16.854,0.095,13.818,21.156,0.785,NA,NA,NA,1.465382352,12656465331,3100958931,0.24500987,7.24278741,NA,NA,NA,NA,NA,NA,NA,NA,NA,345,0.89578506,0.10421494,0.116339225,4.005198825
LO-D-BP-09-2_S2135,LO-D-BP-09-2_S2135,337111_097-LO-D-BP-09_O-A-2_S28,LOD,9,no,2,LO-D-BP-09-O-A-2_S83_L001_R1_001.cropped.fastq.gz ,disturbed_gradient,34.37,6.8,4.9,39.2,39,0.34,90,20,60,NA,5,NA,NA,0,NA,NA,175,5.529,6.628,10.879,0.859,59.918,16.854,0.095,13.818,21.156,0.785,NA,NA,NA,1.465382352,11950549989,3738425401,0.312824548,7.327415212,NA,NA,NA,NA,NA,NA,NA,NA,NA,312,0.906525233,0.093474767,0.103113254,3.815123153
LO-D-BP-09-3_S2136,LO-D-BP-09-3_S2136,337111_098-LO-D-BP-09_O-A-3_S12,LOD,9,no,3,LO-D-BP-09-O-A-3_S84_L001_R1_001.cropped.fastq.gz ,disturbed_gradient,34.37,6.8,4.9,39.2,39,0.34,90,20,60,NA,5,NA,NA,0,NA,NA,175,5.529,6.628,10.879,0.859,59.918,16.854,0.095,13.818,21.156,0.785,NA,NA,NA,1.465382352,13522127910,3517342579,0.260117535,7.733732028,NA,NA,NA,NA,NA,NA,NA,NA,NA,318,0.914900947,0.085099053,0.093014498,3.907256255
LO-D-BP-10-1_S2131,LO-D-BP-10-1_S2131,337111_086-LO-D-BP-10_O-A-1_S4,LOD,10,no,1,LO-D-BP-10-O-A-1_S72_L001_R1_001.cropped.fastq.gz ,disturbed_gradient,77.91,6.3,5.1,26.4,13.72,0.02,0,4,100,0.5,5,NA,NA,20,NA,NA,129.5,6.005,4.684,6.427,0.526,66.308,11.663,0.081,15.549,22.168,1.055,NA,NA,NA,0.654156358,3956678642,585743754.6,0.148039254,7.715312475,NA,NA,NA,NA,NA,NA,NA,NA,NA,342,0.568925989,0.431074011,0.757697871,4.388260886
LO-D-BP-10-2_S2132,LO-D-BP-10-2_S2132,337111_087-LO-D-BP-10_O-A-2_S61,LOD,10,no,2,LO-D-BP-10-O-A-2_S73_L001_R1_001.cropped.fastq.gz ,disturbed_gradient,77.91,6.3,5.1,26.4,13.72,0.02,0,4,100,0.5,5,NA,NA,20,NA,NA,129.5,6.005,4.684,6.427,0.526,66.308,11.663,0.081,15.549,22.168,1.055,NA,NA,NA,0.654156358,4076107399,738667503.1,0.181218852,7.632456194,NA,NA,NA,NA,NA,NA,NA,NA,NA,322,0.527497887,0.472502113,0.89574219,4.239912565
LO-D-BP-10-3_S2133,LO-D-BP-10-3_S2133,337111_088-LO-D-BP-10_O-A-3_S94,LOD,10,no,3,LO-D-BP-10-O-A-3_S74_L001_R1_001.cropped.fastq.gz ,disturbed_gradient,77.91,6.3,5.1,26.4,13.72,0.02,0,4,100,0.5,5,NA,NA,20,NA,NA,129.5,6.005,4.684,6.427,0.526,66.308,11.663,0.081,15.549,22.168,1.055,NA,NA,NA,0.654156358,3574810849,803853951,0.22486615,7.70592974,NA,NA,NA,NA,NA,NA,NA,NA,NA,391,0.683363835,0.316636165,0.463349315,4.445733517
LO-D-BP-11-1_S2092,LO-D-BP-11-1_S2092,337111_023-LO-D-BP-11_O-A-1_S15,LOD,11,no,1,LO-D-BP-11-O-A-1_S11_L001_R1_001.cropped.fastq.gz ,disturbed_gradient,114.57,5.5,3.3,28.6,17.68,0.16,0.5,15,50,NA,3,NA,NA,75,NA,1,144.5,6.208,5.928,9.569,0.772,55.906,26.469,0.099,11.631,16.811,0.774,NA,NA,NA,1.464810063,1636342824,1544284223,0.94374125,7.301390991,NA,NA,NA,NA,NA,NA,NA,NA,NA,304,0.722285438,0.277714562,0.384494201,2.560187755
